id,nome,regiao
1,Achaval Ferrer,Argentina
2,Alamos,Argentina
3,Alfa Crux,Argentina
4,Alto Cedro,Argentina
5,Altos Las Hormigas,Argentina
6,Amalaya,Argentina
7,Angelica Zapata,Argentina
8,Bemberg La Interna,Argentina
9,Benegas Lynch,Argentina
10,Bressia,Argentina
11,Carmelo Patti,Argentina
12,Casa Petrini,Argentina
13,Catena,Argentina
14,Chacra,Argentina
15,Cobos,Argentina
16,Colome,Argentina
17,Concha y Toro,Chile
18,Cuvelier de los Andes,Argentina
19,Del Fin del Mundo,Argentina
20,Diamandes de Uco,Argentina
21,Dona Paula,Argentina
22,Catena Zapata,Argentina
23,El Enemigo,Argentina
24,El Porvenir,Argentina
25,Enzo Bianchini,Argentina
26,Flecha de Los Andes,Argentina
27,Bodega Aleanna,Argentina
28,Henrique Foster,Argentina
29,Hermandad,Argentina
30,Ingenio,Argentina
31,Jean River,Argentina
32,Kaiken,Argentina
33,Kalos Cru,Argentina
34,Lagarde,Argentina
35,Bodega Luigi Bosca,Argentina
36,La Posta,Argentina
37,Bodega Las Perdices,Argentina
38,Los Intocables,Argentina
39,Los Padrillos,Argentina
40,LTU Wines,Argentina
41,Familia Zuccardi,Argentina
42,Marcelo Pelleriti Wines,Argentina
43,Marchiori & Barraud,Argentina
44,Mariflor,Argentina
45,Mauricio Lorca,Argentina
46,Mendel Wines,Argentina
47,Montes,Chile
48,Bodega Monteviejo,Argentina
49,Mosquita Muerta Wines,Argentina
50,Viña Nicasia,Argentina
51,Noemía,Argentina
52,Finca Flichman,Argentina
53,Pascual Toso,Argentina
54,Pequeñas Producciones,Argentina
55,Piatelli Vineyards,Argentina
56,Poesia,Argentina
57,Bodegas Salentein,Argentina
58,Pulenta Estate,Argentina
59,Renacer Vineyards,Argentina
60,Ricitelli Wines,Argentina
61,Rutini Wines,Argentina
62,Viña Doña Paula,Argentina
63,Bodegas Salentein,Argentina
64,Bodega San Pedro de Yacochuya,Argentina
65,Sin Fin Wines,Argentina
66,Sin Reglas Wines,Argentina
67,Sophenia,Argentina
68,Bodega Sottano,Argentina
69,Suzana Balbo Wines,Argentina
70,Bodega Tapiz,Argentina
71,Bodega La Rural,Argentina
72,Bodegas y Viñedos Uspallata,Argentina
73,Viña Alicia,Argentina
74,Bodega Zuccardi,Argentina
